Charmes | Bobotie
Kim Kaey | Loving U
SUMR CAMP | Wait A Minute
Helena Legend; Inpetto | Pasilda - Inpetto Remix Edit
Mr. Belt & Wezol | The Rhythm
Earstrip & Torha | Shake That Ass - Radio Mix
Gary Caos; Dave Kurtis | So High - Dave Kurtis Remix
Mawi | CO2
Antonio Giacca | Down Like the River - Radio Mix
Oliver Heldens; Anabel Englund | Deja Vu
Disclosure; Mary J. Blige | F For You
Angelo Ferreri; Alessio Cala' | Izinque - Alessio Cala' Remix
Bingo Players; A-Trak; Phantoms | Cry (Just a Little) - A-Trak and Phantoms Remix Edit
Ferreck Dawn; Rene Amesz | Rosie
Shakecraft & Kamereon | Sweat
Antoine Clamaran; Agua Sin Gas | Freak It
Dubbel Drop | Ecstasy
Throttle | Money Maker - Club Edit
FISHER | You Little Beauty
HOSH; 1979; Jalja | Midnight (The Hanging Tree)
Yaeji | raingurl
Ferreck Dawn; Rene Amesz | Lord
Dian Solo | Bad - Radio Edit
Rough Traders; Marvin Aloys; 5&Dime | Get Down Tonight - 5&Dime Edit
WEISS; Gorgon City | Feel My Needs - Gorgon City Remix
Dua Lipa; Claptone | Physical - Claptone Remix
Antonio Giacca | The Philly Jam - Radio Mix
Amtrac | Amtrac - Lover
Hardrive | Deep Inside - Low Steppa Remix Edit
Mr. Belt & Wezol; Freejak | Somebody To Love
Angelika Vee; Calippo | Coco Jamboo - Calippo Remix Edit
Siege | Crunk
Ferreck Dawn; Robosonic; A-Trak | In Arms - A-Trak Remix
N-You-Up; Saison | Vibin' - Saison Remix
Alaia & Gallo; Kevin Haden; Claptone | Who Is He (feat. Kevin Haden) - Claptone Extended Remix
Cloonee | The Ciggie
Dombresky | Bubblin
Gregory Porter; Claptone | Liquid Spirit - Claptone Remix
Chris Lake; Armand Van Helden; Arthur Baker; Victor Simonelli | The Answer (featuring Arthur Baker & Victor Simonelli)
Joshwa; Lee Foss | My Humps
Diplo; Sonny Fodera | Turn Back Time
Andrey Exx; Terri B! | Been a Long Time - Original Edit
WEISS; Harry Romero | Where Do We Go?
Semedo | Disco Belly (People All Over The World)
Purple Disco Machine; Claptone | Body Funk - Claptone Remix
Tom Budin | Sugar’s Delight
